Codigo_Externo,Nombre,Creditos,Horas_Semanales,Horas_Totales,Ciclo,Cuatrimestre_Sugerido,Tipo,Carrera,Correlativas
CBC-01,Introducción al Conocimiento de la Sociedad y el Estado,4,4,64,CBC,1-2,Obligatoria,Ingeniería en Informática,
CBC-02,Introducción al Pensamiento Científico,4,4,64,CBC,1-2,Obligatoria,Ingeniería en Informática,
CBC-03,Análisis Matemático A,9,9,144,CBC,1-2,Obligatoria,Ingeniería en Informática,
CBC-04,Álgebra A,9,9,144,CBC,1-2,Obligatoria,Ingeniería en Informática,
CBC-05,Física,6,6,96,CBC,1-2,Obligatoria,Ingeniería en Informática,
CBC-06,Pensamiento Computacional,6,6,96,CBC,1-2,Obligatoria,Ingeniería en Informática,
